KHR_MATERIALS_DISPERSION_NO_VOLUME	The dispersion extension needs to be combined with the volume extension.	/materials/24/extensions/KHR_materials_dispersion
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/25/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/26/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/27/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/28/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/29/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/30/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/31/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/32/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/33/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/34/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/35/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/36/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/37/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/38/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/39/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/40/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/41/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/42/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/43/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/44/material
